(score(0.00))
(score(0.00))
 PA7->A5 |(score(inf))
 PB7->B6 |(score(inf))
 PB7->B5 |(score(inf))
 PC7->C6 |(score(inf))
 PC7->C5 |(score(inf))
 PD7->D6 |(score(inf))
 PD7->D5 |(score(inf))
 PE7->E6 |(score(inf))
 PE7->E5 |(score(inf))
 PF7->F6 |(score(inf))
 PF7->F5 |(score(inf))
 PG7->G6 |(score(inf))
 PG7->G5 |(score(inf))
 PH7->H6 |(score(inf))
 PH7->H5 |(score(inf))
 NB8->A6 |(score(inf))
 NB8->C6 |(score(inf))
 NG8->F6 |(score(inf))
 NG8->H6 |(score(inf))
 PA7->A5 |(score(2.99))
 PB7->B6 |(score(3.02))
 PB7->B5 |(score(3.04))
 PC7->C6 |(score(3.07))
 PD7->D6 |(score(3.09))
 PD7->D5 |(score(3.11))
 PE7->E6 |(score(3.13))
 PE7->E5 |(score(3.15))
 PF7->F6 |(score(3.17))
 PF7->F5 |(score(3.19))
 PG7->G6 |(score(3.21))
 PG7->G5 |(score(3.22))
 PH7->H6 |(score(3.24))
 PH7->H5 |(score(3.26))
 NB8->A6 |(score(3.27))
 NB8->C6 |(score(3.29))
 NG8->F6 |(score(3.30))
 NG8->H6 |(score(3.31))
 PH2->H4 | PF7->F6 |(score(inf))
 PA7->A6 |(score(2.84))
 PC7->C5 |(score(2.85))
 PH2->H4 | PA7->A5 |(score(inf))
 PH2->H4 | PB7->B6 |(score(inf))
 PH2->H4 | PB7->B5 |(score(inf))
 PH2->H4 | PC7->C6 |(score(inf))
 PH2->H4 | PD7->D6 |(score(inf))
 PH2->H4 | PD7->D5 |(score(inf))
 PH2->H4 | PE7->E6 |(score(inf))
 PH2->H4 | PE7->E5 |(score(inf))
 PH2->H4 | PF7->F5 |(score(inf))
 PH2->H4 | PG7->G6 |(score(inf))
 PH2->H4 | PG7->G5 |(score(inf))
 PH2->H4 | PH7->H6 |(score(inf))
 PH2->H4 | PH7->H5 |(score(inf))
 PH2->H4 | NB8->A6 |(score(inf))
 PH2->H4 | NB8->C6 |(score(inf))
 PH2->H4 | NG8->F6 |(score(inf))
 PH2->H4 | NG8->H6 |(score(inf))
 PG2->G3 | PD7->D5 |(score(inf))
 PG2->G3 | PF7->F6 |(score(inf))
 PH2->H4 | PA7->A6 |(score(inf))
 PH2->H4 | PC7->C5 |(score(inf))
 PG2->G4 | PD7->D5 |(score(inf))
 PG2->G3 | PA7->A5 |(score(inf))
 PG2->G3 | PB7->B6 |(score(inf))
 PG2->G3 | PB7->B5 |(score(inf))
 PG2->G3 | PC7->C6 |(score(inf))
 PG2->G3 | PD7->D6 |(score(inf))
 PG2->G3 | PE7->E6 |(score(inf))
 PG2->G3 | PE7->E5 |(score(inf))
 PG2->G3 | PF7->F5 |(score(inf))
 PG2->G3 | PG7->G6 |(score(inf))
 PG2->G3 | PG7->G5 |(score(inf))
 PG2->G3 | PH7->H6 |(score(inf))
 PG2->G3 | PH7->H5 |(score(inf))
 PG2->G3 | NB8->A6 |(score(inf))
 PG2->G3 | NB8->C6 |(score(inf))
 PG2->G3 | NG8->F6 |(score(inf))
 PG2->G3 | NG8->H6 |(score(inf))
 PG2->G4 | PF7->F6 |(score(inf))
 PG2->G3 | PA7->A6 |(score(inf))
 PG2->G3 | PC7->C5 |(score(inf))
 PF2->F3 | PD7->D5 |(score(inf))
